Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('en', 'lo', 'tropa')|3|1|3|213|0.25|0.004672897196261682|0.2546728971962617|15.57484479455058|0.4601905990836635|0.1171980731311199|
creación|1|1|138|213|0.007194244604316547|0.004672897196261682|0.01186714180057823|10.455903721827072|-0.9826266450101642|-0.011660969733362064|
('francisco', 'julio', 'lafargue')|3|1|1|213|0.5|0.004672897196261682|0.5046728971962616|16.57484479455058|0.7420491365421111|0.3744920876006916|
('y', 'veterinario', '.')|3|1|4|213|0.2|0.004672897196261682|0.2046728971962617|15.252916699663219|0.3694524170919272|0.07561689658236642|
('uno', 'historia', 'sociológica')|3|1|0|213|1.0|0.004672897196261682|1.0046728971962617|17.57484479455058|1.0239076740005593|1.0286922892996273|
sanitaria|1|1|237|213|0.004201680672268907|0.004672897196261682|0.00887457786853059|9.680027031242636|-1.2013141142663943|-0.01066115565162197|
('hipófisis', '.')|2|1|122|213|0.008130081300813009|0.004672897196261682|0.01280297849707469|10.63233028921134|-0.9328993107584199|-0.011943889815575849|
('lo', 'ginecología', 'y')|3|1|41|213|0.023809523809523808|0.004672897196261682|0.02848242100578549|12.18252737177182|-0.49596302829556976|-0.01412622777521872|
antigripal|1|1|422|213|0.002364066193853428|0.004672897196261682|0.00703696339011511|8.85033094143063|-1.4351710406757991|-0.010099246071789001|
anestesiar|1|1|1497|213|0.0006675567423230974|0.004672897196261682|0.0053404539385847796|7.0260228860918295|-1.9493678410272595|-0.010410509164364536|
cariar|1|1|368|213|0.0027100271002710027|0.004672897196261682|0.007382924296532685|9.047367788490185|-1.3796345231381695|-0.010185737241212075|
('nuevo', 'organización', 'divisionario')|3|1|0|213|1.0|0.004672897196261682|1.0046728971962617|17.57484479455058|1.0239076740005593|1.0286922892996273|
('trece', 'año', 'de')|3|1|4|213|0.2|0.004672897196261682|0.2046728971962617|15.252916699663219|0.3694524170919272|0.07561689658236642|
('y', 'militar')|2|1|0|213|1.0|0.004672897196261682|1.0046728971962617|17.57484479455058|1.0239076740005593|1.0286922892996273|
sus|1|2|274|212|0.007246376811594203|0.009345794392523364|0.016592171204117566|9.46632033777241|-1.2615491703329929|-0.02093183981657749|
('botiquín', 'español', 'de')|3|1|0|213|1.0|0.004672897196261682|1.0046728971962617|17.57484479455058|1.0239076740005593|1.0286922892996273|
('1758-1831', ')', '.')|3|1|1|213|0.5|0.004672897196261682|0.5046728971962616|16.57484479455058|0.7420491365421111|0.3744920876006916|
